
initial_prompt,merchant_document_text,is_compelling,confidence_score,evidence_details
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a sent employee badge. There is also a email receipt confirming the order. A selfie with the employee badge and the cardholder's face is included.,TRUE,0.76,Evidence includes a sent employee badge. with a email receipt confirming the order. A selfie with the employee badge and the cardholder's face is included.
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a scanned resident permit. There is also a email receipt confirming the order. A selfie with the resident permit and the cardholder's face is included.,TRUE,0.83,Evidence includes a scanned resident permit. with a email receipt confirming the order. A selfie with the resident permit and the cardholder's face is included.
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Customer called to confirm identity; merchant notes missing.,FALSE,0.07,Customer called to confirm identity; merchant notes missing. Missing photographic or email proof.
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.","No ID or correspondence is provided, only a summary of the order.",FALSE,0.11,"No ID or correspondence is provided, only a summary of the order. Missing photographic or email proof."
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a shared employee badge. There is also a email from the merchant confirming the order. The employee badge image is clear and legible.,TRUE,0.75,Evidence includes a shared employee badge. with a email from the merchant confirming the order. The employee badge image is clear and legible.
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a shared employee badge. There is also a email from cardholder confirming the order. The employee badge image is clear and legible. A selfie with the employee badge and the cardholder's face is included.,TRUE,0.76,Evidence includes a shared employee badge. with a email from cardholder confirming the order. The employee badge image is clear and legible. A selfie with the employee badge and the cardholder's face is included.
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.","Only invoice is attached, no ID or email proof.",FALSE,0.35,"Only invoice is attached, no ID or email proof. Missing photographic or email proof."
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a sent driver's license. There is also a online chat transcript confirming the order. The driver's license image is clear and legible. A selfie with the driver's license and the cardholder's face is included.,TRUE,0.88,Evidence includes a sent driver's license. with a online chat transcript confirming the order. The driver's license image is clear and legible. A selfie with the driver's license and the cardholder's face is included.
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Only a generic order confirmation page screenshot is included.,FALSE,0.18,Only a generic order confirmation page screenshot is included. Missing photographic or email proof.
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a uploaded foreign ID card. There is also a email confirmation confirming the order. The foreign ID card image is clear and legible.,TRUE,0.89,Evidence includes a uploaded foreign ID card. with a email confirmation confirming the order. The foreign ID card image is clear and legible.
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a provided driver's license. There is also a email from cardholder confirming the order.,TRUE,0.81,Evidence includes a provided driver's license. with a email from cardholder confirming the order.
