
initial_prompt,merchant_document_text,is_compelling,confidence_score,evidence_details,original_prediction_is_compelling,improved_prediction_is_compelling,original_prediction_confidence,improved_prediction_confidence
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a scanned student ID. There is also a email receipt confirming the order.,TRUE,0.85,Evidence includes a scanned student ID. with a email receipt confirming the order.,FALSE,TRUE,1,0.9
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Only shipping tracking number is provided; lacks ID and email correspondence.,FALSE,0.37,Only shipping tracking number is provided; lacks ID and email correspondence. Missing photographic or email proof.,FALSE,FALSE,0.3,0.46
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.","Only invoice is attached, no ID or email proof.",FALSE,0.02,"Only invoice is attached, no ID or email proof. Missing photographic or email proof.",FALSE,FALSE,0.16,0.04
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a uploaded national ID. There is also a online chat transcript confirming the order. The national ID image is clear and legible. A selfie with the national ID and the cardholder's face is included.,TRUE,0.89,Evidence includes a uploaded national ID. with a online chat transcript confirming the order. The national ID image is clear and legible. A selfie with the national ID and the cardholder's face is included.,FALSE,TRUE,1,0.87
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Customer called to confirm identity; merchant notes missing.,FALSE,0.05,Customer called to confirm identity; merchant notes missing. Missing photographic or email proof.,FALSE,FALSE,0.16,0.14
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Only shipping tracking number is provided; lacks ID and email correspondence.,FALSE,0.33,Only shipping tracking number is provided; lacks ID and email correspondence. Missing photographic or email proof.,FALSE,FALSE,0.17,0.27
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a shared government ID. There is also a email from cardholder confirming the order.,TRUE,0.96,Evidence includes a shared government ID. with a email from cardholder confirming the order.,TRUE,TRUE,0.79,1
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a scanned national ID. There is also a online chat transcript confirming the order.,TRUE,0.74,Evidence includes a scanned national ID. with a online chat transcript confirming the order.,TRUE,TRUE,0.6,0.75
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a uploaded driver's license. There is also a online chat transcript confirming the order.,TRUE,0.76,Evidence includes a uploaded driver's license. with a online chat transcript confirming the order.,TRUE,TRUE,0.86,0.82
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Screenshots show a chat with a generic support agent but no ID images.,FALSE,0.14,Screenshots show a chat with a generic support agent but no ID images. Missing photographic or email proof.,TRUE,TRUE,0.21,0.05
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a uploaded foreign ID card. There is also a email from the merchant confirming the order.,TRUE,0.87,Evidence includes a uploaded foreign ID card. with a email from the merchant confirming the order.,FALSE,TRUE,0.85,0.9
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a uploaded driver's license. There is also a email confirmation confirming the order. The driver's license image is clear and legible.,TRUE,0.76,Evidence includes a uploaded driver's license. with a email confirmation confirming the order. The driver's license image is clear and legible.,TRUE,TRUE,0.7,0.83
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a uploaded national ID. There is also a online chat transcript confirming the order.,TRUE,0.81,Evidence includes a uploaded national ID. with a online chat transcript confirming the order.,TRUE,TRUE,0.83,0.85
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a uploaded employee badge. There is also a email confirmation confirming the order.,TRUE,0.73,Evidence includes a uploaded employee badge. with a email confirmation confirming the order.,TRUE,FALSE,0.61,0.78
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a provided passport. There is also a email receipt confirming the order. A selfie with the passport and the cardholder's face is included.,TRUE,0.81,Evidence includes a provided passport. with a email receipt confirming the order. A selfie with the passport and the cardholder's face is included.,TRUE,TRUE,0.96,0.9
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Only shipping tracking number is provided; lacks ID and email correspondence.,FALSE,0.19,Only shipping tracking number is provided; lacks ID and email correspondence. Missing photographic or email proof.,FALSE,FALSE,0.01,0.15
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Merchant notes 'verified identity over phone'. No images or email evidence were uploaded.,FALSE,0.07,Merchant notes 'verified identity over phone'. No images or email evidence were uploaded. Missing photographic or email proof.,TRUE,FALSE,0,0.1
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Only shipping tracking number is provided; lacks ID and email correspondence.,FALSE,0.14,Only shipping tracking number is provided; lacks ID and email correspondence. Missing photographic or email proof.,FALSE,FALSE,0.08,0.08
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a provided passport. There is also a email confirmation confirming the order. The passport image is clear and legible.,TRUE,0.87,Evidence includes a provided passport. with a email confirmation confirming the order. The passport image is clear and legible.,TRUE,TRUE,0.71,0.86
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a shared student ID. There is also a email confirmation confirming the order. A selfie with the student ID and the cardholder's face is included.,TRUE,0.82,Evidence includes a shared student ID. with a email confirmation confirming the order. A selfie with the student ID and the cardholder's face is included.,TRUE,TRUE,0.94,0.87
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Only a generic order confirmation page screenshot is included.,FALSE,0.34,Only a generic order confirmation page screenshot is included. Missing photographic or email proof.,FALSE,FALSE,0.26,0.29
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.","No ID or correspondence is provided, only a summary of the order.",FALSE,0.05,"No ID or correspondence is provided, only a summary of the order. Missing photographic or email proof.",FALSE,TRUE,0.12,0.02
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Customer filled a web form. No ID copy was uploaded.,FALSE,0.22,Customer filled a web form. No ID copy was uploaded. Missing photographic or email proof.,FALSE,FALSE,0.04,0.15
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.","Only invoice is attached, no ID or email proof.",FALSE,0.26,"Only invoice is attached, no ID or email proof. Missing photographic or email proof.",FALSE,FALSE,0.45,0.19
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a uploaded national ID. There is also a order confirmation email confirming the order.,TRUE,0.88,Evidence includes a uploaded national ID. with a order confirmation email confirming the order.,FALSE,TRUE,0.74,0.93
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Screenshots show a chat with a generic support agent but no ID images.,FALSE,0.11,Screenshots show a chat with a generic support agent but no ID images. Missing photographic or email proof.,TRUE,FALSE,0,0.02
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Only phone verification notes. No images or emails were provided.,FALSE,0.18,Only phone verification notes. No images or emails were provided. Missing photographic or email proof.,FALSE,FALSE,0.03,0.14
